date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:23	619796/619796	---MCZ	200	added ('OK')	text/html	etag:W/%22dcecb351d157006817ae6975c5e2a518%22	https://www.projectsforhumanity.org/	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/index.html	(from )
17:31:25	312/312	---MCZ	200	added ('OK')	text/plain	etag:W/%2221d-uvbIf39BCThzTErCN2Mf2kO8x6k%22	https://www.projectsforhumanity.org/robots.txt		(from )
17:31:26	2962/2962	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Nov%202024%2022:31:26%20GMT	https://www.projectsforhumanity.org/c	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/c.0.delayed	(from https://www.projectsforhumanity.org/)
17:31:26	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Nov%202024%2022:31:26%20GMT	https://www.projectsforhumanity.org/t	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/t.1.delayed	(from https://www.projectsforhumanity.org/)
17:31:28	556598/556598	---MCZ	200	added ('OK')	text/html	etag:W/%22b457d0505c182d2ea132b638755ecf10%22	https://www.projectsforhumanity.org/about	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/about.html	(from https://www.projectsforhumanity.org/)
17:31:29	562737/562737	---MCZ	200	added ('OK')	text/html	etag:W/%221b208a61b9d1165584af4af629e718e7%22	https://www.projectsforhumanity.org/programs	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/programs.html	(from https://www.projectsforhumanity.org/)
17:31:31	677546/677546	---MCZ	200	added ('OK')	text/html	etag:W/%2211145197b6cf39209ecebecf4c843576%22	https://www.projectsforhumanity.org/book-online	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/book-online.html	(from https://www.projectsforhumanity.org/)
17:31:32	565494/565494	---MCZ	200	added ('OK')	text/html	etag:W/%2298c532ee8363281f2557439105475ef6%22	https://www.projectsforhumanity.org/blank-page	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/blank-page.html	(from https://www.projectsforhumanity.org/)
17:31:33	612169/612169	---MCZ	200	added ('OK')	text/html	etag:W/%221ec7d8e3f891d1617a30224a40972cd7%22	https://www.projectsforhumanity.org/get-involved	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/get-involved.html	(from https://www.projectsforhumanity.org/)
17:31:36	1096571/1096571	---MCZ	200	added ('OK')	text/html	etag:W/%22b240c5b5bc796ed943cacb20abd684fc%22	https://www.projectsforhumanity.org/online-ordering	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/online-ordering.html	(from https://www.projectsforhumanity.org/)
17:31:37	541789/541789	---MCZ	200	added ('OK')	text/html	etag:W/%22e10274e88d61a78cc164718765a649b7%22	https://www.projectsforhumanity.org/my-account	/Users/agautam/workspace/projects-for-humanity/projects-for-humanity/www.projectsforhumanity.org/my-account.html	(from https://www.projectsforhumanity.org/)
